tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf_encoded,stabf
4.96629899222653,4.53691263861661,4.32957499994055,5.99691003370649,4.87327738384072,-1.859493174314,-1.96993228088676,-1.04385192863996,0.806279423159433,0.328945612756732,0.224656817049598,0.905824396201633,0.0633838766376333,1,unstable
5.87475229549357,6.63606513311092,9.54279149991071,4.02997723419548,3.23380887922864,-0.633601379518327,-1.58344431558382,-1.01676318412649,0.45804341624017,0.597933107956515,0.127654044215583,0.464094521610191,0.023860998876722,1,unstable
9.71805002989852,1.56863813871015,9.92852504037529,3.4774680862207,3.69718353105758,-1.36064085029481,-1.41555602912325,-0.920986651639524,0.857598155390124,0.7464055442926,0.360907539104659,0.612771726327546,0.0065047057196656,1,unstable
9.08100754086882,9.8614821762615,8.57824439304856,3.00640542243649,3.75894496165544,-1.75254122755678,-1.28222326982901,-0.724180464269652,0.886878069954386,0.630460059043433,0.348931155622535,0.329131501615734,0.0540794462820556,1,unstable
2.68422863080309,6.89108526449534,1.73012921241896,4.43289809863642,4.38908165217294,-1.30806838572486,-1.5546102771491,-1.52640298929898,0.88158591143008,0.12830160442795,0.431797504426314,0.628441623898746,-0.0057725841417962,0,stable
6.61411725336906,9.10004135293991,5.34467443055041,0.706861217049847,4.57613569850869,-1.93106381433335,-0.77973346711729,-1.86533841705805,0.0820625567011873,0.179089743543301,0.353524729389853,0.604223056665696,-0.0494570836865645,0,stable
1.37645313464553,7.16078547324624,9.63836817235617,6.29835748969066,5.37877358978101,-1.88374277469466,-1.70549170551118,-1.78953910957517,0.354359682962154,0.730219377284851,0.31742423610969,0.346800588455377,0.0158630132497461,1,unstable
4.29217699556981,2.90345029117806,7.55852706940526,6.51987351069694,4.65099728322095,-1.10504630909614,-1.75977106340589,-1.78617991071892,0.595197931303538,0.723040574400125,0.208128056623793,0.188745581380255,-0.002879841070287,0,stable
8.65350480111475,5.73691582374735,6.66023141434385,9.08724052909537,3.07711354401024,-0.951742148556758,-1.41757683037702,-0.707794565076462,0.072071621427713,0.295936568225675,0.131194538299136,0.780049909842092,0.017345645423853,1,unstable
1.93340101308062,6.66522680746402,0.683170914655935,2.9543982434854,4.13629192928849,-1.29932939265261,-1.6528776754248,-1.18408486121108,0.619160225386862,0.327868726031724,0.121566771205278,0.972415675878393,-0.0356318228083202,0,stable
